,Type,Gender,Officer-defined ethnicity,Object-of-search,Outcome,Outcome-linked-to-object-of-search,years,Age-min,Age-max
0,1,1,3,3,9,1,0,1,1
1,1,1,3,3,7,0,0,2,2
2,0,1,1,3,14,0,0,1,1
3,0,0,1,3,7,0,0,1,1
4,0,1,3,3,13,1,0,1,1
5,1,1,3,3,7,0,0,2,2
6,1,1,3,1,7,0,0,2,2
7,1,0,3,10,13,1,0,0,0
8,1,1,3,10,14,0,0,2,2
9,1,1,3,10,14,0,0,2,2
11,0,0,0,3,7,0,0,1,1
13,0,1,3,10,6,1,0,0,0
14,0,1,3,3,13,1,0,2,2
15,0,1,0,3,7,0,0,2,2
16,1,1,3,3,7,0,0,1,1
17,0,1,3,3,13,1,0,2,2
18,1,1,3,1,13,1,0,2,2
19,1,1,3,1,7,0,0,0,0
20,1,1,3,10,7,0,0,2,2
21,1,1,3,1,7,0,0,0,0
22,1,1,3,10,7,0,0,2,2
23,1,0,3,10,7,0,0,2,2
24,1,1,3,10,7,0,0,0,0
25,1,1,3,10,13,0,0,0,0
26,1,1,3,10,7,0,0,2,2
27,1,1,3,1,13,0,0,0,0
28,1,0,3,10,13,0,0,0,0
29,1,1,0,3,14,1,0,0,0
30,1,1,3,10,7,0,0,0,0
31,0,1,1,3,7,0,0,2,2
32,0,1,1,10,14,0,0,2,2
33,0,0,1,10,7,0,0,1,1
34,1,1,1,10,7,0,0,0,0
35,0,1,3,3,13,1,0,2,2
36,1,1,3,10,13,0,0,2,2
37,1,0,3,10,6,1,0,1,1
38,0,1,1,3,13,1,0,1,1
39,1,1,3,10,13,0,0,1,1
40,1,1,3,10,13,0,0,2,2
42,0,1,3,3,13,1,0,2,2
43,1,1,3,3,14,1,0,1,1
44,1,1,3,3,9,1,0,2,2
45,0,1,0,3,7,0,0,2,2
46,0,1,0,3,7,0,0,2,2
47,0,1,3,3,13,1,0,2,2
48,0,1,0,3,7,0,0,2,2
49,1,1,3,2,7,0,0,0,0
50,1,1,3,1,7,0,0,1,1
51,1,1,3,1,7,0,0,1,1
52,1,1,3,1,14,0,0,1,1
53,1,1,3,1,14,0,0,1,1
55,1,1,3,1,7,0,0,0,0
56,1,0,3,10,7,0,0,2,2
57,1,1,3,10,6,1,0,0,0
58,0,1,3,10,13,1,0,0,0
59,1,0,3,10,13,1,0,2,2
60,1,0,1,10,13,1,0,0,0
61,1,1,0,3,7,0,0,1,1
62,1,1,0,3,7,0,0,2,2
64,1,1,3,10,13,1,0,2,2
65,1,1,3,10,7,0,0,0,0
66,1,0,3,1,7,0,0,0,0
67,1,1,3,10,7,0,0,0,0
68,0,1,1,3,7,0,0,1,1
69,0,1,1,3,7,0,0,1,1
70,0,1,1,3,7,0,0,1,1
71,0,1,3,3,13,1,0,1,1
72,0,1,3,3,13,1,0,1,1
73,1,1,3,10,13,0,0,0,0
74,1,1,3,10,7,0,0,1,1
75,1,1,3,10,6,1,0,1,1
76,1,1,3,10,13,1,0,2,2
77,1,1,3,10,13,1,0,0,0
78,0,1,1,3,7,0,0,0,0
79,0,1,0,3,10,1,0,2,2
80,0,1,0,3,7,0,0,1,1
81,1,1,3,1,13,0,0,2,2
82,1,1,3,10,13,1,0,0,0
83,0,1,3,3,7,0,0,1,1
84,1,1,3,0,13,0,0,0,0
85,1,1,2,1,7,0,0,0,0
86,1,1,0,10,13,1,0,2,2
87,1,1,3,1,7,0,0,2,2
88,1,1,3,10,7,0,0,2,2
89,0,1,3,10,7,0,0,1,1
90,0,1,3,1,7,0,0,1,1
91,0,1,3,1,7,0,0,0,0
92,1,1,3,3,13,1,0,2,2
