,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
0,2,3,1,1,1,2,11,2,3,2,6
1,2,3,1,1,1,2,11,2,3,1,9
2,2,3,1,1,1,2,11,2,3,2,39
3,2,3,1,1,1,2,11,2,3,1,5
4,2,3,1,1,1,2,11,2,3,2,8
5,2,3,1,1,1,2,11,2,3,2,48
6,2,3,1,1,1,2,11,2,3,2,57
7,2,3,1,1,1,2,1,1,3,1,54
8,1,6,1,1,1,1,9,3,3,2,3
9,2,6,1,4,1,2,1,1,2,1,45
10,2,3,1,1,1,2,1,1,2,1,44
11,1,6,1,4,1,1,9,3,3,1,16
12,2,6,1,1,1,2,9,1,3,2,38
13,2,6,1,1,1,1,5,1,2,1,35
14,2,6,1,1,1,1,5,2,3,2,37
15,3,3,1,1,1,2,19,1,3,1,28
16,3,3,1,1,1,2,19,2,3,1,32
17,3,3,1,1,1,3,9,1,3,2,46
18,2,6,1,1,1,1,9,1,3,1,69
19,2,6,1,1,1,1,9,2,3,2,69
20,2,3,1,4,1,1,3,1,2,1,20
21,2,6,1,6,1,2,1,1,3,1,25
22,1,4,1,1,1,1,9,3,3,2,23
23,2,6,2,1,5,1,9,2,3,2,53
24,1,6,9,1,9,1,8,2,2,2,28
25,1,6,1,4,1,1,9,3,2,2,21
26,2,6,1,1,1,2,1,1,3,1,32
27,1,6,1,1,1,1,9,1,3,2,58
28,2,3,1,1,1,1,8,1,3,1,32
29,2,3,1,1,1,1,8,2,3,1,28
30,2,3,1,1,1,2,9,1,3,2,39
31,2,6,1,1,1,2,11,2,3,2,79
32,1,4,1,4,1,1,9,3,3,1,58
33,2,6,1,4,1,2,1,1,3,1,39
34,2,3,1,4,1,2,9,1,3,1,29
35,2,3,1,1,1,2,9,1,3,2,29
36,2,3,1,1,1,2,9,2,3,2,23
37,2,3,1,1,1,1,9,2,3,2,21
38,2,3,1,1,1,2,9,1,3,2,39
39,2,3,2,1,1,2,1,1,2,2,20
40,2,6,1,4,1,2,1,1,2,1,43
41,2,6,1,4,1,1,9,1,3,2,73
42,2,6,1,4,1,2,2,1,2,1,17
43,2,6,1,1,1,1,9,1,3,2,32
44,2,6,1,4,1,1,9,1,3,2,23
45,2,6,1,4,1,1,9,2,3,2,20
46,2,3,1,4,1,1,9,2,3,2,36
